StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1,Q1,Q2,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11,Q12,DV1A,DV1B,DV1C,DV1D,DV2,DV3,Q16_1,Q16_2,Q16_3,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q19,Q20_1,Q21,Q22,Q23,SC0,opp,Q_TotalDuration,rid,RISN,V,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,age,LS,ClientDuration,gender,age_group,university_education,weight_poststratify,count,sample_proportion,source.x,Freq,population_proportion,source.y,weight_manually_calculated
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,215,TRUE,28/03/2024 03:46,R_7kt6U6SeqAdtnxz,anonymous,EN,1,NA,0,0,NA,0,0,1.205,0,Подтверждаю,46,Оренбургская область,В городе 500 тыс.-1 млн. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",100,Да,Иногда,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,NA,Радио,NA,NA,NA,NA,Одобряю,Затрудняюсь ответить,Скорее контролирует политическую ситуацию,NA,NA,NA,Большинство,Затрудняюсь ответить,Скорее не соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно оправданно,Отказ от ответа,Затрудняюсь ответить,Отказ от ответа,Совершенно оправданно,Затрудняюсь ответить,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного лучше, чем раньше",Затрудняюсь ответить,278,Qual0196-1602Russia,215,NA,NA,FALSE,6gLnYsrffuCwqaUlDbi9Im,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,215,Woman,45-54,BA-,137495.72222222222,54,0.033128834355828224,March Survey,7424769,0.062149375066289494,Census 2020,1.875990395519479
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,226,TRUE,28/03/2024 03:46,R_7sUh7j902jH2Ug1,anonymous,EN,1,NA,0,0,NA,0,0,1.034,0,Подтверждаю,47,Москва,Москва,Мужской,Высшее образование (бакалавриат / специалитет),88,Да,Иногда,Совершенно согласны,Телевидение,NA,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,Скорее контролирует политическую ситуацию,NA,NA,Большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,4,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,"Стало немного хуже, чем раньше",80,Qual0196-1602Russia,226,NA,NA,FALSE,382CGqRtr0ermEQaDBpaAL,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,226,Man,45-54,BA+,24875.410256410258,78,0.04785276073619632,March Survey,1940282,0.016241220939314113,Census 2020,0.3393998734754103
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,281,TRUE,28/03/2024 03:46,R_7PpOoEqbOj25l8l,anonymous,EN,1,NA,0,0,NA,0,0,1.01,0,Подтверждаю,49,Новосибирская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),83,Нет,Иногда,"В чем-то согласны, в чем-то нет",NA,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Затрудняюсь ответить,NA,NA,NA,"Многие, но не большинство",Скорее не контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",83,Qual0196-1602Russia,281,NA,NA,FALSE,0Xvjzb169uCloqp66VJccy,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,281,Man,45-54,BA+,24875.410256410258,78,0.04785276073619632,March Survey,1940282,0.016241220939314113,Census 2020,0.3393998734754103
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,237,TRUE,28/03/2024 03:46,R_3qJ1lykPeSkDqLp,anonymous,EN,1,NA,0,0,NA,0,0,1.149,0,Подтверждаю,46,Челябинская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",75,Нет,Иногда,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,Узнаю новости от родственников и знакомых,NA,NA,NA,Затрудняюсь ответить,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,NA,Скорее контролирует политическую ситуацию,NA,Большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Затрудняюсь ответить,Затрудняюсь ответить,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",215,Qual0196-1602Russia,237,NA,NA,FALSE,2WAuZNKC2vEHWY0Gxi5ziz,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,237,Man,45-54,BA-,97100.28947368421,76,0.046625766871165646,March Survey,7379622,0.061771469997981276,Census 2020,1.3248354749567037
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,320,TRUE,28/03/2024 03:46,R_75nmwKdacF5WjZf,anonymous,EN,1,NA,0,0,NA,0,0,1.108,0,Подтверждаю,67,Самарская область,В городе 500 тыс.-1 млн. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",88,Да,Иногда,Совершенно согласны,Телевидение,NA,NA,NA,NA,NA,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",NA,NA,NA,Полностью контролирует политическую ситуацию,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,"Стало немного лучше, чем раньше",90,Qual0196-1602Russia,320,NA,NA,FALSE,0gVEC5toVBrXwZ5ko9qAWV,5,0.75,1,NA,23476773,598,NA,anonymous,55+,NA,320,Woman,65+,BA-,347290.34210526315,38,0.023312883435582823,March Survey,13197033,0.11046637998827973,Census 2020,4.738426299497262
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,236,TRUE,28/03/2024 03:46,R_1umeL5Uvoe9Fucp,anonymous,EN,1,NA,0,0,NA,0,0,1.063,0,Подтверждаю,19,Свердловская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Незаконченное высшее (не менее трех курсов вуза),86,Нет,Постоянно,"В чем-то согласны, в чем-то нет",NA,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,NA,NA,Скорее контролирует политическую ситуацию,Большинство,Скорее не контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Скорее соблюдаются,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного хуже, чем раньше",93,Qual0196-1602Russia,236,NA,NA,FALSE,7DU1JGdM40A4mKemAdtJBu,5,0.75,1,NA,23476773,598,NA,anonymous,18-24,NA,236,Man,18-24,BA-,271803.2105263158,19,0.011656441717791411,March Survey,5164261,0.04322768746464856,Census 2020,3.708480556177745
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,293,TRUE,28/03/2024 03:46,R_5DlQdhqyQ2p498Z,anonymous,EN,0.800000012,NA,0,0,NA,0,0,1.029,0,Подтверждаю,41,Нижегородская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),82,Затрудняюсь ответить,Постоянно,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее контролирует политическую ситуацию,NA,NA,NA,Подавляющее большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Затрудняюсь ответить,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше",Практически ничего не изменилось,85,Qual0196-1602Russia,293,NA,NA,FALSE,3Uv6CABrcX6jAwgIkH2SW3,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,293,Woman,35-44,BA+,39242.69642857143,112,0.0687116564417178,March Survey,4395182,0.036790075839747256,Census 2020,0.5354269965963216
28/03/2024 03:43,28/03/2024 03:46,IP Address,100,223,TRUE,28/03/2024 03:46,R_2mmE8iJqMKPcCbr,anonymous,EN,1,NA,0,0,NA,0,0,1.196,0,Подтверждаю,43,Московская область,В городе 500 тыс.-1 млн. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",82,Да,Очень редко,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",NA,NA,Затрудняюсь ответить,NA,Подавляющее большинство,Полностью контролирует элиты,Полностью соблюдаются,Затрудняюсь ответить,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Отказ от ответа,Затрудняюсь ответить,Затрудняюсь ответить,5 Голосование влияет на ситуацию в стране,Маловероятна,В настоящее время Вы можете практически ни в чем себе не отказывать,Практически ничего не изменилось,"Стало немного лучше, чем раньше",78,Qual0196-1602Russia,223,NA,NA,FALSE,6AVU6mfmslRCybheyfru9I,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,223,Man,35-44,BA-,128658.23188405797,69,0.04233128834355828,March Survey,8877418,0.07430884124505821,Census 2020,1.7554117569484766
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,233,TRUE,28/03/2024 03:46,R_5BsvI0w3f35bkkX,anonymous,EN,0.899999976,NA,0,0,NA,0,0,1.246,0,Подтверждаю,34,Москва,Москва,Женский,Высшее образование (магистратура),72,Да,Постоянно,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",NA,NA,NA,Скорее контролирует политическую ситуацию,Подавляющее большинство,Скорее не контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,80,Qual0196-1602Russia,233,NA,NA,FALSE,50zPuKsaybELERpzwZL4Kg,5,0.75,1,NA,23476773,598,NA,anonymous,25-34,NA,233,Woman,25-34,BA+,22508.793939393938,165,0.10122699386503067,March Survey,3713951,0.03108779999442689,Census 2020,0.30710978176312625
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,287,TRUE,28/03/2024 03:46,R_31bH8dAZD30MFHo,anonymous,EN,1,NA,0,25,NA,0,0,1.009,0,Подтверждаю,47,Республика Мордовия,В городе 250-500 тыс. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",86,Да,Постоянно,Совершенно согласны,Телевидение,NA,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее контролирует политическую ситуацию,NA,NA,NA,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,4,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,76,Qual0196-1602Russia,287,NA,NA,FALSE,7od1tYiSarIpzmVFx9PVBz,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,287,Man,45-54,BA-,97100.28947368421,76,0.046625766871165646,March Survey,7379622,0.061771469997981276,Census 2020,1.3248354749567037
