RecordedDate,ResponseId,Duration,age,age_group,region,region_group,locality,gender,education,nationality,trust_president_Q7_1,trust_gov_Q7_2,putin_approve_Q8,president_candidate_Q9,street_action_Q10,law_Q11,protest_authorization_Q12_1,protest_arrest_participants_Q12_2,protest_arrest_organizers_Q12_3,media_foreign_websites_Q13_1,media_surveilliance_Q13_2,media_foreign_agents_Q13_3,navalny_Q14,citizen_proud_Q15,protest_participate_authorized_Q16_1,protest_participate_unauthorized_Q16_2,follow_politics_Q17,information_source_Q18,tv_channels_Q19,tv_channels_grouped_Q19,trust_regional_federal_Q20,list_experiment_control_Q21_v1,list_experiment_treatment_Q21_v2,group_experiment_v1_admin,group_experiment_v1_protesters,group_experiment_v1_police,group_experiment_v2_admin,group_experiment_v2_protesters,group_experiment_v2_police,group_experiment_v3_admin,group_experiment_v3_protesters,group_experiment_v3_police,group_experiment_v4_admin,group_experiment_v4_protesters,group_experiment_v4_police,group_experiment_v5_admin,group_experiment_v5_protesters,group_experiment_v5_police,group_experiment_v6_admin,group_experiment_v6_protesters,group_experiment_v6_police,group_experiment_v7_admin,group_experiment_v7_protesters,group_experiment_v7_police,group_experiment_v8_admin,group_experiment_v8_protesters,group_experiment_v8_police,protest_attitude_Q23,family_finance_today_Q24,russian_economy_Q25,personal_wealth_Q26,trust_others_Q27
2023-07-26 15:52:55,R_3gL41q9Ogb4axhT,308,35,35-44,Москва,Moscow/St Petersburg,Москва,Мужской,Высшее образование (магистратура),Русские,Совсем не доверяют,Совсем не доверяют,Не одобряю,Павел Грудинин,"5
влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,no_answer,Скорее согласны,no_answer,no_answer,Постоянно,Интернет-ресурсы,Ничего из перечисленного,Other,no_answer,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,Денег хватает только на самое необходимое ,"Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",Совершенно не согласны
2023-07-26 15:53:00,R_bf5YhcQGi0KtO9j,254,45,45-54,Пензенская область,Other,В городе 250-500 тыс. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,Владимир Путин,2,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю этот способ допустимым, и сам(а) участвовал (а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,РБК ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда ,Пятый канал ,ТВ Центр  ,ТНТ ,ТВ-3 ,СТС",Watches Channel 1,Скорее региональным,2,NA,NA,NA,NA,"Скорее, не одобряю","Скорее, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее согласны
2023-07-26 15:53:01,R_2fqcb3RQiqySmb1,285,34,25-34,Чувашская Республика - Чувашия,Other,В городе 500 тыс.-1 млн. жителей,Женский,Высшее образование (бакалавриат / специалитет),Чуваши,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,4,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Очень редко,Телевидение,"Россия 1/Россия 24 ,Телеканал Звезда ,Пятый канал",Other,В равной степени региональным и федеральным,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Определенно, не одобряю","Определенно, одобряю",Не поддерживаете,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,Скорее согласны
2023-07-26 15:53:08,R_3mfB4ubN17UZSXG,302,54,45-54,Волгоградская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (магистратура),Русские,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,НТВ ,ТНТ",Other,В равной степени региональным и федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, одобряю","Определенно, не одобряю","Определенно, одобряю",NA,NA,NA,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-26 15:53:14,R_1mwIkXiBMci5IaI,110,27,25-34,Москва,Moscow/St Petersburg,Москва,Женский,Высшее образование (магистратура),Русские,"Отчасти доверяют, отчасти не доверяют","Отчасти доверяют, отчасти не доверяют",no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,Other,no_answer,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,no_answer,no_answer
2023-07-26 15:53:19,R_1gSAyfeD77l3X9i,313,43,35-44,Самарская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Татары,"Отчасти доверяют, отчасти не доверяют",Скорее не доверяют,no_answer,Павел Грудинин,"5
влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,НТВ ,Телеканал Звезда ,Russia Today ,ТНТ ,ТВ-3 ,СТС",Watches Channel 1,no_answer,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю","Определенно, одобряю","Определенно, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало значительно хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
2023-07-26 15:53:41,R_AmNyMb4gXksJZNn,312,42,35-44,Челябинская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),Русские,"Отчасти доверяют, отчасти не доверяют",Совсем не доверяют,no_answer,Павел Грудинин,2,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Полностью не оправдано,Полностью не оправдано,Скорее оправданно,no_answer,"В чем-то согласны, в чем-то нет","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Иногда,Интернет-ресурсы,"НТВ ,ТНТ ,СТС",Other,В равной степени региональным и федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю",no_answer,no_answer,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало значительно хуже, чем раньше","Стало немного хуже, чем раньше",Скорее согласны
2023-07-26 15:54:10,R_3Rz0ytW3ZYqvgJg,338,32,25-34,Костромская область,Other,В городе 250-500 тыс. жителей,Мужской,Высшее образование (магистратура),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,no_answer,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,no_answer,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Телевидение,"Россия 1/Россия 24 ,Первый канал ,НТВ",Watches Channel 1,Федеральным,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее согласны
2023-07-26 15:54:15,R_2dtKDJ0pOHy24rU,263,48,45-54,Ханты-Мансийский автономный округ – Югра,Other,В городе 500 тыс.-1 млн. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,no_answer,"Подчиняться закону во всех случаях, без исключений",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,no_answer,Совершенно согласны,no_answer,no_answer,Иногда,Социальные сети и мессенджеры,Первый канал,Watches Channel 1,Скорее федеральным,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало значительно лучше, чем раньше","Стало немного хуже, чем раньше",no_answer
2023-07-26 15:54:18,R_2bQn3z6qW5neNPF,176,26,25-34,Республика Татарстан (Татарстан),Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Скорее доверяют,Скорее доверяют,no_answer,Не стал бы участвовать в выборах,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Скорее оправданно,Скорее оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Не одобряю,Скорее согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",no_answer,Не слежу,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,ТНТ",Watches Channel 1,Региональным,NA,2,NA,NA,NA,"Скорее, одобряю",no_answer,"Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,В настоящее время Вы можете практически ни в чем себе не отказывать,Практически ничего не изменилось,"Стало немного хуже, чем раньше",Скорее согласны
2023-07-26 15:54:21,R_3hAaRkGFqmcOqI2,294,54,45-54,Республика Дагестан,Other,В городе 100-250 тыс. жителей,Мужской,Незаконченное высшее (не менее трех курсов вуза),Лезгины,Скорее доверяют,Скорее доверяют,no_answer,Опустили бы недействительный бюллетень / испортили или унесли бюллетень,"5
влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,no_answer,Не одобряю,Скорее согласны,"Я считаю этот способ допустимым, и сам(а) участвовал (а)","Я считаю этот способ допустимым, и сам(а) участвовал (а)",Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,Телеканал Звезда ,СТС",Watches Channel 1,Скорее региональным,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,"Поддерживаете, и готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее согласны
2023-07-26 15:54:29,R_AFGvGD8Ez2BMOL7,373,47,45-54,Тульская область,Other,В городе 500 тыс.-1 млн. жителей,Мужской,"Законченное среднее образование (школа, лицей, гимназия)",Русские,"Отчасти доверяют, отчасти не доверяют",Скорее не доверяют,Не одобряю,Сергей Миронов,2,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Не одобряю,Скорее согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"РЕН ТВ ,НТВ ,ТВ-3 ,СТС",Other,no_answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
2023-07-26 15:54:38,R_PGsiEtYYvmwD2jn,324,35,35-44,Брянская область,Other,В городе 500 тыс.-1 млн. жителей,Женский,Высшее образование (бакалавриат / специалитет),Русские,Скорее доверяют,Скорее доверяют,no_answer,Не стал бы участвовать в выборах,3,no_answer,Скорее оправданно,no_answer,Скорее оправданно,no_answer,Полностью не оправдано,no_answer,no_answer,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Очень редко,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,Первый канал ,НТВ",Watches Channel 1,no_answer,0,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Совершенно не согласны
