StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1 ,Q1,Q2,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11,Q12,DV1A,DV1B,DV1C,DV1D,DV2,DV3,Q16_1,Q16_2,Q16_3,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q19,Q20_1,Q21,Q22,Q23,SC0,opp,Q_TotalDuration,rid,RISN,V,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,age,LS,ClientDuration
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,215,True,28/03/2024 03:46,R_7kt6U6SeqAdtnxz,anonymous,EN,1,,0,0,,0,0,1.205,0,Подтверждаю,46,Оренбургская область,В городе 500 тыс.-1 млн. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",100,Да,Иногда ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,,Радио ,,,,,Одобряю  ,Затрудняюсь ответить  ,Скорее контролирует политическую ситуацию,,,,Большинство,Затрудняюсь ответить,Скорее не соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно оправданно,Отказ от ответа,Затрудняюсь ответить,Отказ от ответа,Совершенно оправданно,Затрудняюсь ответить,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит ","Стало немного лучше, чем раньше ",Затрудняюсь ответить,278,Qual0196-1602Russia,215,,,F,6gLnYsrffuCwqaUlDbi9Im,5,.75,1,,23476773,598,,anonymous,45-54,,215
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,226,True,28/03/2024 03:46,R_7sUh7j902jH2Ug1,anonymous,EN,1,,0,0,,0,0,1.034,0,Подтверждаю,47,Москва,Москва,Мужской ,Высшее образование (бакалавриат / специалитет),88,Да,Иногда ,Совершенно согласны,Телевидение ,,,Интернет-ресурсы ,,,,,,Одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,Скорее контролирует политическую ситуацию,,,Большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,4,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ",Практически ничего не изменилось ,"Стало немного хуже, чем раньше ",80,Qual0196-1602Russia,226,,,F,382CGqRtr0ermEQaDBpaAL,5,.75,1,,23476773,598,,anonymous,45-54,,226
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,281,True,28/03/2024 03:46,R_7PpOoEqbOj25l8l,anonymous,EN,1,,0,0,,0,0,1.01,0,Подтверждаю,49,Новосибирская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской ,Высшее образование (бакалавриат / специалитет),83,Нет,Иногда ,"В чем-то согласны, в чем-то нет ",,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,,,,,Не одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",Затрудняюсь ответить,,,,"Многие, но не большинство",Скорее не контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ","Стало немного хуже, чем раньше ","Стало значительно хуже, чем раньше ",83,Qual0196-1602Russia,281,,,F,0Xvjzb169uCloqp66VJccy,5,.75,1,,23476773,598,,anonymous,45-54,,281
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,237,True,28/03/2024 03:46,R_3qJ1lykPeSkDqLp,anonymous,EN,1,,0,0,,0,0,1.149,0,Подтверждаю,46,Челябинская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",75,Нет,Иногда ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,Узнаю новости от родственников и знакомых ,,,,Затрудняюсь ответить  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,,Скорее контролирует политическую ситуацию,,Большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Затрудняюсь ответить,Затрудняюсь ответить,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит ","Стало значительно хуже, чем раньше ","Стало значительно хуже, чем раньше ",215,Qual0196-1602Russia,237,,,F,2WAuZNKC2vEHWY0Gxi5ziz,5,.75,1,,23476773,598,,anonymous,45-54,,237
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,320,True,28/03/2024 03:46,R_75nmwKdacF5WjZf,anonymous,EN,1,,0,0,,0,0,1.108,0,Подтверждаю,67,Самарская область,В городе 500 тыс.-1 млн. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",88,Да,Иногда ,Совершенно согласны,Телевидение ,,,,,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,,,Полностью контролирует политическую ситуацию ,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ",Практически ничего не изменилось ,"Стало немного лучше, чем раньше ",90,Qual0196-1602Russia,320,,,F,0gVEC5toVBrXwZ5ko9qAWV,5,.75,1,,23476773,598,,anonymous,55+,,320
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,236,True,28/03/2024 03:46,R_1umeL5Uvoe9Fucp,anonymous,EN,1,,0,0,,0,0,1.063,0,Подтверждаю,19,Свердловская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской ,Незаконченное высшее (не менее трех курсов вуза),86,Нет,Постоянно ,"В чем-то согласны, в чем-то нет ",,Социальные сети и мессенджеры ,,,,,,,,Не одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,,,Скорее контролирует политическую ситуацию,Большинство,Скорее не контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Скорее соблюдаются,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит ",Практически ничего не изменилось ,"Стало немного хуже, чем раньше ",93,Qual0196-1602Russia,236,,,F,7DU1JGdM40A4mKemAdtJBu,5,.75,1,,23476773,598,,anonymous,18-24,,236
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,293,True,28/03/2024 03:46,R_5DlQdhqyQ2p498Z,anonymous,EN,0.800000012,,0,0,,0,0,1.029,0,Подтверждаю,41,Нижегородская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),82,Затрудняюсь ответить,Постоянно ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,,,,,Одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",Скорее контролирует политическую ситуацию,,,,Подавляющее большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Затрудняюсь ответить,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ","Стало немного хуже, чем раньше ",Практически ничего не изменилось ,85,Qual0196-1602Russia,293,,,F,3Uv6CABrcX6jAwgIkH2SW3,5,.75,1,,23476773,598,,anonymous,35-44,,293
28/03/2024 03:43,28/03/2024 03:46,IP Address,100,223,True,28/03/2024 03:46,R_2mmE8iJqMKPcCbr,anonymous,EN,1,,0,0,,0,0,1.196,0,Подтверждаю,43,Московская область,В городе 500 тыс.-1 млн. жителей,Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",82,Да,Очень редко ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,,,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,,Затрудняюсь ответить,,Подавляющее большинство,Полностью контролирует элиты,Полностью соблюдаются,Затрудняюсь ответить,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Отказ от ответа,Затрудняюсь ответить,Затрудняюсь ответить,5 Голосование влияет на ситуацию в стране,Маловероятна,В настоящее время Вы можете практически ни в чем себе не отказывать ,Практически ничего не изменилось ,"Стало немного лучше, чем раньше ",78,Qual0196-1602Russia,223,,,F,6AVU6mfmslRCybheyfru9I,5,.75,1,,23476773,598,,anonymous,35-44,,223
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,233,True,28/03/2024 03:46,R_5BsvI0w3f35bkkX,anonymous,EN,0.899999976,,0,0,,0,0,1.246,0,Подтверждаю,34,Москва,Москва,Женский,Высшее образование (магистратура),72,Да,Постоянно ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,,,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,,,Скорее контролирует политическую ситуацию,Подавляющее большинство,Скорее не контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,80,Qual0196-1602Russia,233,,,F,50zPuKsaybELERpzwZL4Kg,5,.75,1,,23476773,598,,anonymous,25-34,,233
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,287,True,28/03/2024 03:46,R_31bH8dAZD30MFHo,anonymous,EN,1,,0,25,,0,0,1.009,0,Подтверждаю,47,Республика Мордовия,В городе 250-500 тыс. жителей,Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",86,Да,Постоянно ,Совершенно согласны,Телевидение ,,,Интернет-ресурсы ,,,,,,Одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",Скорее контролирует политическую ситуацию,,,,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,4,Маловероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,76,Qual0196-1602Russia,287,,,F,7od1tYiSarIpzmVFx9PVBz,5,.75,1,,23476773,598,,anonymous,45-54,,287
28/03/2024 03:43,28/03/2024 03:46,IP Address,100,228,True,28/03/2024 03:46,R_5OHt7LcFInqjXk1,anonymous,EN,1,,0,0,,0,0,1.108,0,Подтверждаю,37,Ростовская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Незаконченное высшее (не менее трех курсов вуза),84,Да,Иногда ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,Газеты и журналы (в т.ч. их электронные версии) ,Интернет-ресурсы ,Радио ,Узнаю новости от родственников и знакомых ,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,,Полностью контролирует политическую ситуацию ,,Большинство,Полностью контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ","Стало немного лучше, чем раньше ","Стало немного лучше, чем раньше ",112,Qual0196-1602Russia,228,,,F,3QEozlgyhz12uTu22lVMhG,5,.75,1,,23476773,598,,anonymous,35-44,,228
28/03/2024 03:41,28/03/2024 03:46,IP Address,100,316,True,28/03/2024 03:46,R_7od5b6QM8NoYxph,anonymous,EN,1,,0,0,,0,0,1.113,0,Подтверждаю,36,Воронежская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),75,Нет,Постоянно ,"В чем-то согласны, в чем-то нет ",,Социальные сети и мессенджеры ,,,,,,,,Не одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,,Скорее контролирует политическую ситуацию,,"Многие, но не большинство",Скорее контролирует элиты,Скорее не соблюдаются,Скорее не соблюдаются,Полностью не соблюдаются,Полностью не оправдано,Затрудняюсь ответить,Скорее не оправдано,Затрудняюсь ответить,Затрудняюсь ответить,2,Вполне вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,49,Qual0196-1602Russia,316,,,F,7f1RmWh5UjoBfvgVEUV9X1,5,.75,1,,23476773,598,,anonymous,35-44,,316
28/03/2024 03:42,28/03/2024 03:46,IP Address,100,283,True,28/03/2024 03:46,R_1JF5pIgarUN1FiW,anonymous,EN,0.800000012,,0,0,,0,0,1.182,0,Подтверждаю,39,Брянская область,В городе 250-500 тыс. жителей,Мужской ,Высшее образование (магистратура),82,Нет,Постоянно ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,Газеты и журналы (в т.ч. их электронные версии) ,Интернет-ресурсы ,Радио ,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",Скорее не контролирует политическую ситуацию,,,,Подавляющее большинство,Скорее не контролирует элиты,Полностью соблюдаются,Скорее не соблюдаются,Скорее не соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,Вполне вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ",Практически ничего не изменилось ,"Стало значительно лучше, чем раньше ",57,Qual0196-1602Russia,283,,,F,5tO2NeQVqKeBnl8pujdOfj,5,.75,1,,23476773,598,,anonymous,35-44,,283
